ID,Title,Date,Type,URL,Local PDF,Full Citation,Core/Strand,Contribution,Role in Argument,Local MD,Peer Review Notes,Authorial Contributions,Authorial CRediT,GitHub URL,Posted
SBW-001,Exploring Big Historical Data: The Historian’s Macroscope (2nd edition),2022,Book,https://doi.org/10.1142/12435,Graham et al. - 2022 - Exploring Big Historical Data The Historian's Macroscope.pdf,"Graham, Shawn, Ian Milligan, Scott B. Weingart, and Kim Martin. 2022. Exploring Big Historical Data: The Historian’s Macroscope. 2nd ed. World Scientific Press. https://doi.org/10.1142/12435.",0,,,macroscope-2e,Book was accepted in a standard press peer review process. ,"I wrote the first draft of Chapters 5, 6, and 7, and my co-authors wrote the first draft of other chapters. Each of us contributed extensively to the final version of the book.",CRediT: Conceptualization; Project Administration; Visualization; Writing - Original Draft; Writing - review and editing,https://github.com/scottbot/dossier/blob/main/_posts/macroscope-2e.md#user-content-fnref-133-9b6a1d61a7bedf3c5a331382f40a7fd4,1
SBW-047,Exploring Big Historical Data: The Historian’s Macroscope (1st edition),2014,Book,https://doi.org/10.1142/p981,"Shawn Graham, Ian Milligan, Scott B. Weingart - Exploring big historical data _ the historian’s macroscope-Imperial College Press (2016).pdf","Graham, Shawn, Ian Milligan, and Scott B. Weingart. 2014. Exploring Big Historical Data: The Historian’s Macroscope. 1st ed. Imperial College Press.",0,,,macroscope-1stEd,Book was accepted in a standard press peer review process. ,"I wrote the first draft of Chapters 5, 6, and 7, and my co-authors wrote the first draft of other chapters. Each of us contributed extensively to the final version of the book.",CRediT: Conceptualization; Project Administration; Visualization; Writing - Original Draft; Writing - review and editing,https://github.com/scottbot/dossier/blob/main/_posts/macroscope-1stEd.md,1
SBW-002,The Network Turn: Changing Perspectives in the Humanities,2021,Book,https://doi.org/10.1017/9781108866804,Ahnert et al. - 2020 - The Network Turn Changing Perspectives in the Humanities.pdf,"Ahnert, Ruth, Sebastian E. Ahnert, Catherine Nicole Coleman, and Scott B. Weingart. 2020. The Network Turn: Changing Perspectives in the Humanities. 1st ed. Cambridge University Press. https://doi.org/10.1017/9781108866804.",0,,,Network Turn,Book was accepted in a standard press peer review process. ,"I contributed the first draft of Part I, Chapter 2, and of several other sections throughout the book. All four of us contributed equally to the deeply inter-edited final product. Many sections were collaboratively written in a pub in Southwest Germany.",CRediT: Conceptualization; Project Administration; Writing - Original Draft; Writing - review and editing,https://github.com/scottbot/dossier/blob/main/_posts/The_Network_Turn.md,1
SBW-003,Uncertainty in Humanities Network Visualization,2024,Article,https://doi.org/10.3389/fcomm.2023.1305137,Conroy et al. - 2024 - Uncertainty in humanities network visualization.pdf,"Conroy, Melanie, Christina Gillmann, Francis Harvey, et al. 2024. “Uncertainty in Humanities Network Visualization.” Frontiers in Communication 8 (January): 1305137. https://doi.org/10.3389/fcomm.2023.1305137.",,,,Conroy_et_al_2024_Uncertainty_Humanities_Network_Visualization,Journal article was accepted in a standard anonymized journal peer review process. ,"As detailed in the author contribution section of the publication, I contributed to conceptualization, writing of the original draft, and reviewing and editing of the final draft.",CRediT: Conceptualization; Writing - Original Draft; Writing - review and editing,,1
SBW-004,Network Workbench Tool (NWB) User Manual,2009,Book,http://nwb.cns.iu.edu/Docs/NWBTool-Manual.pdf,Börner et al. - 2009 - Network Workbench Tool (NWB) User Manual.pdf,"Börner, Katy, Angela Zoss, Hanning Guo, Scott B. Weingart, Mark A. Price, and Ann McCraine. 2009. Network Workbench Tool (NWB) User Manual. http://nwb.cns.iu.edu/Docs/NWBTool-Manual.pdf.",,,,Borner_et_al_2009_NWB_User_Manual,"Not peer reviewed. Book shared freely alongside scientific software, and used / taught regularly.",Contributed several sections of the technical writing.,Writing - Original Draft; Writing - Review and Editing,,
SBW-005,An API for Philosophy,2010,Article,http://www.apaonline.org/resource/collection/EADE8D52-8D02-4136-9A2A-729368501E43/v10n1Computers.pdf,Allen et al. - 2010 - An API for Philosophy.pdf,"Allen, Colin, Jaimie Murdock, Cameron Buckner, and Scott B. Weingart. 2010. “An API for Philosophy.” APA Newsletter on Philosophy and Computers. http://www.apaonline.org/resource/collection/EADE8D52-8D02-4136-9A2A-729368501E43/v10n1Computers.pdf.",,,,Allen_et_al_2010_An_API_for_Philosophy,Solicited magazine entry that was not peer reviewed. Published open access in the APA Newsletter on Philosophy and Computers.,"I contributed data analysis and visualization, as well as some review of prose.",Formal Analysis; Methodology; Visualization; Writing - Review and Editing,,
SBW-006,Network Workbench Tool,2009,Software,http://nwb.slis.indiana.edu/,,"Indiana University, Northeastern University, and University of Michigan. 2009. Network Workbench Tool. With NWB Team. released. http://nwb.slis.indiana.edu/.",,,,,Not peer reviewed. Shared widely on the web.,"I contributed user testing, support, and documentation.",,,
SBW-007,The Sci2 (Science of Science) Tool,2009,Software,https://sci2.cns.iu.edu/,,Indiana University and SciTech Strategies. 2009. The Sci2 (Science of Science) Tool. With Sci2 Team. released. https://sci2.cns.iu.edu/.,,,,,Not peer reviewed. Shared widely on the web.,"I contributed user testing, support, documentation, and occasional developmental agenda setting and oversight.",,,1
SBW-008,ePistolarium,2010,Website,https://ckcc.huygens.knaw.nl/epistolarium/,,"Van Den Heuvel, Charles, Walter Ravenek, Bas Doppen, and Scott B. Weingart. 2010. “ePistolarium.” https://ckcc.huygens.knaw.nl/epistolarium/.",,,,,Not peer reviewed. Shared widely on the web.,"I conceived of, designed, and oversaw the development of the project and the site.",,,1
SBW-009,Science of Science (Sci2) Tool User Manual,2010,Book,https://sci2.cns.iu.edu/docs/Sci2_Tutorial_003.pdf,Weingart et al. - 2011 - Science of Science (Sci2) Tool User Manual.pdf,"Weingart, Scott B., Hanning Guo, Katy Börner, Kevin W. Boyack, Micah W. Linnemeier, and Russell J. Duhon. 2010. Science of Science (Sci2) Tool User Manual. https://sci2.cns.iu.edu/docs/Sci2_Tutorial_003.pdf.",,,,Weingart_et_al_2011_Sci2_User_Manual,"Not peer reviewed. Book shared freely alongside scientific software, and used / taught regularly.","Oversaw the book’s development, and contributed the majority of the technical writing.",Conceptualization; Formal Analysis; Methodology; Project Administration; Software; Visualization; Writing - Original Draft; Writing - Review and Editing,,
